Time,Anomaly (deg C),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1850,-0.41765878,0.06857404,0.054385677,0.087522574
1851,-0.2333498,0.07741495,0.047985557,0.091080666
1852,-0.22939907,0.07721073,0.049708433,0.09182824
1853,-0.27035445,0.06722385,0.04600141,0.08145659
1854,-0.29163003,0.05693054,0.044140056,0.072037704
1855,-0.2969512,0.05794394,0.04383438,0.07265641
1856,-0.32035372,0.05791303,0.048247475,0.0753773
1857,-0.46723005,0.06232111,0.043615688,0.076067396
1858,-0.3887657,0.060377132,0.045449644,0.07557161
1859,-0.28119546,0.058035567,0.043922845,0.07278285
1860,-0.39016518,0.061349552,0.044729367,0.075924195
1861,-0.42927712,0.06631663,0.054267228,0.0856903
1862,-0.53639776,0.0672566,0.0525683,0.0853632
1863,-0.3443432,0.072320715,0.06441406,0.0968476
1864,-0.4654367,0.07121261,0.06011598,0.09319424
1865,-0.33258784,0.07170518,0.06678952,0.097992204
1866,-0.34126064,0.06537088,0.06492185,0.09213142
1867,-0.35696334,0.0761464,0.06489846,0.10005041
1868,-0.35196072,0.0689745,0.058839794,0.090662025
1869,-0.31657043,0.065974616,0.047947302,0.0815573
1870,-0.32789087,0.059337504,0.040475935,0.07182786
1871,-0.3685807,0.06181645,0.04116692,0.074269705
1872,-0.32804197,0.056484107,0.039453357,0.06889863
1873,-0.34133235,0.057353597,0.03452334,0.06694248
1874,-0.3732512,0.056649674,0.038175058,0.06831194
1875,-0.37562594,0.060848616,0.03584162,0.07061994
1876,-0.42410994,0.05926135,0.038732983,0.07079655
1877,-0.101108834,0.056034807,0.03424199,0.06566897
1878,-0.011315193,0.050981775,0.03380664,0.061172135
1879,-0.30363432,0.057741866,0.033079267,0.066545926
1880,-0.31583208,0.053836964,0.033536416,0.06342799
1881,-0.23224552,0.05469787,0.033473134,0.06412728
1882,-0.29553008,0.056266278,0.029609656,0.063581645
1883,-0.3464744,0.051217113,0.027931664,0.058338415
1884,-0.49232006,0.048502002,0.028588057,0.056300275
1885,-0.47112358,0.050023068,0.027563926,0.057114597
1886,-0.42090362,0.044757172,0.02618534,0.05185438
1887,-0.49878576,0.05389999,0.02656045,0.060088817
1888,-0.37937889,0.050436836,0.028910575,0.05813515
1889,-0.24989556,0.054822512,0.029826406,0.062410913
1890,-0.50685817,0.056089103,0.03094009,0.06405682
1891,-0.40131494,0.060772844,0.03354423,0.06941581
1892,-0.5075585,0.060822263,0.034205064,0.06978062
1893,-0.49461925,0.06219131,0.031807326,0.06985317
