Time,Anomaly (deg C),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1850-01,-0.67456436,0.09417705,0.12529029,0.15673855
1850-02,-0.333416,0.09979061,0.15873,0.18749234
1850-03,-0.59132266,0.09601492,0.14606202,0.1747941
1850-04,-0.58872116,0.10636518,0.116737284,0.15792766
1850-05,-0.5081851,0.086318925,0.09599416,0.12909622
1850-06,-0.34424013,0.09619988,0.095172375,0.13532257
1850-07,-0.15979019,0.08982657,0.08122076,0.121101715
1850-08,-0.2076543,0.09334885,0.09220406,0.13120823
1850-09,-0.3847069,0.09518492,0.094590686,0.13419227
1850-10,-0.53312653,0.09537702,0.08432966,0.12731169
1850-11,-0.2825075,0.092585176,0.09678442,0.13393745
1850-12,-0.40367043,0.08774279,0.112080775,0.14234078
1851-01,-0.20073938,0.10498547,0.11956405,0.15911476
1851-02,-0.46933234,0.098210685,0.14079757,0.17166623
1851-03,-0.6460531,0.096702605,0.12160102,0.15536474
1851-04,-0.5421326,0.10527519,0.103785336,0.14783187
1851-05,-0.19762275,0.10278894,0.09450374,0.13962995
1851-06,-0.13670355,0.09790081,0.10258244,0.1418017
1851-07,-0.0968156,0.10209358,0.06667762,0.12193853
1851-08,-0.10175375,0.104623064,0.08274093,0.13338684
1851-09,-0.091244884,0.10324122,0.09024995,0.13712695
1851-10,-0.00836263,0.10453582,0.08301091,0.13348614
1851-11,-0.08189084,0.107749395,0.11212026,0.15550204
1851-12,-0.22754622,0.1087473,0.12457392,0.16536215
1852-01,-0.37509567,0.093464956,0.12675259,0.15748625
1852-02,-0.47672674,0.10695099,0.1431123,0.1786607
1852-03,-0.5597683,0.10920841,0.11942526,0.16182975
1852-04,-0.5853704,0.10663624,0.09728973,0.14434882
1852-05,-0.12741269,0.09802368,0.09414733,0.13591307
1852-06,-0.083659135,0.09456229,0.09000044,0.13054542
1852-07,0.005029385,0.092506014,0.07506246,0.11912907
1852-08,-0.13558698,0.099218935,0.08599741,0.13130099
1852-09,-0.0019016695,0.09675715,0.08975669,0.13197806
1852-10,-0.172434,0.10082395,0.0697687,0.122609705
1852-11,-0.3052479,0.09455215,0.104074486,0.14061154
1852-12,0.065385304,0.085873276,0.11683861,0.14500165
1853-01,-0.23259853,0.08897178,0.114518315,0.1450187
1853-02,-0.40372267,0.08324869,0.12657084,0.1514943
1853-03,-0.28042167,0.09116972,0.11718283,0.14847133
1853-04,-0.38631994,0.091619805,0.10499656,0.13935015
1853-05,-0.2678886,0.085710585,0.08719273,0.1222656
