Time,Anomaly (deg C),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1850-01,-0.9006187,0.1064885,0.18309256,0.21180815
1850-02,-0.15071486,0.11904484,0.25988263,0.28585076
1850-03,-0.50326127,0.11358196,0.24579372,0.2707682
1850-04,-0.67327887,0.11574295,0.1594265,0.19701076
1850-05,-0.60724604,0.11067308,0.109285705,0.15553744
1850-06,-0.19347593,0.10610523,0.06067748,0.122229606
1850-07,-0.061502025,0.09959168,0.042376183,0.10823236
1850-08,0.015616962,0.102310084,0.043851707,0.11131184
1850-09,-0.31790617,0.095329285,0.03133813,0.100348145
1850-10,-0.7515545,0.09530844,0.08678776,0.12890235
1850-11,-0.5644277,0.1017487,0.1487958,0.18025811
1850-12,-0.5211238,0.106304005,0.1923327,0.21975534
1851-01,-0.044900708,0.12215386,0.18402658,0.22087859
1851-02,-0.50167,0.122714855,0.23833625,0.26807296
1851-03,-1.0070971,0.109628566,0.20723015,0.23444137
1851-04,-0.6889065,0.11117642,0.14004202,0.17880706
1851-05,-0.111604765,0.11536266,0.10716752,0.15745927
1851-06,0.052468386,0.107991606,0.061932243,0.12449012
1851-07,-0.053910352,0.1062833,0.037500843,0.112705156
1851-08,-0.0062075043,0.10296721,0.0440602,0.11199798
1851-09,0.08826249,0.11216804,0.06070841,0.12754285
1851-10,0.05810798,0.10723813,0.0809178,0.13434175
1851-11,-0.20954458,0.11069272,0.13497236,0.17455778
1851-12,-0.20598541,0.12775461,0.18302652,0.22320384
1852-01,-0.3527414,0.11889782,0.1854874,0.2203231
1852-02,-0.48287162,0.11895288,0.2242302,0.25382861
1852-03,-0.6762869,0.12897322,0.20228949,0.2399065
1852-04,-0.71890914,0.11891191,0.118182704,0.167652
1852-05,-0.028678063,0.11362009,0.10327549,0.15354267
1852-06,-0.02144388,0.10839406,0.054396424,0.12127754
1852-07,-0.011929803,0.10629147,0.035796486,0.11215732
1852-08,-0.05565623,0.115909554,0.04362758,0.12384825
1852-09,-0.02047585,0.10707007,0.03752632,0.11345583
1852-10,-0.06976813,0.11852627,0.066025585,0.13567555
1852-11,-0.57795095,0.12515907,0.1388123,0.18690544
1852-12,0.18828736,0.112073526,0.2023579,0.23132055
1853-01,-0.04770193,0.11527611,0.17455535,0.20918448
1853-02,-0.42018542,0.10612305,0.21626982,0.240904
1853-03,-0.5052254,0.11144087,0.2032875,0.2318294
1853-04,-0.45581898,0.11999683,0.15022804,0.19226988
1853-05,-0.1632042,0.110703126,0.110523134,0.15643065
1853-06,0.023884673,0.11153671,0.05952743,0.12642765
1853-07,0.067338325,0.11320076,0.040196367,0.12012561
1853-08,0.09737421,0.1008738,0.03575666,0.10702365
1853-09,-0.19538143,0.10821766,0.033487737,0.11328058
1853-10,-0.3821505,0.10814599,0.080501385,0.13481851
1853-11,-0.6015902,0.11054792,0.13571115,0.17503816
1853-12,-0.36204526,0.11214299,0.1857924,0.21701352
1854-01,-0.45771125,0.097048275,0.18270136,0.20687716
1854-02,-0.4223606,0.09544707,0.22047688,0.24025029
1854-03,-0.085044146,0.09589138,0.2134592,0.23400852
1854-04,-0.31132418,0.09305539,0.12210282,0.15352005
1854-05,-0.19426188,0.08815062,0.10712783,0.13873321
1854-06,-0.34954852,0.09427737,0.06091036,0.11224212
1854-07,0.06719997,0.09929231,0.03927592,0.106778085
1854-08,0.050826762,0.09558835,0.042027473,0.104419544
1854-09,-0.12305348,0.09374396,0.040227458,0.10201068
1854-10,0.16684422,0.092787154,0.066185266,0.113973446
1854-11,-0.28160533,0.10524486,0.14822523,0.18178889
1854-12,-0.15885867,0.09472582,0.18423428,0.20715995
1855-01,0.0034667382,0.10842529,0.16670217,0.1988609
1855-02,-0.37075746,0.09588631,0.214492,0.23494893
1855-03,-0.35366672,0.09522848,0.22133842,0.24095468
1855-04,0.065733954,0.096276015,0.12729768,0.15960504
1855-05,-0.2370935,0.09567363,0.13371186,0.16441503
1855-06,-0.1758612,0.09961035,0.060351163,0.116466664
1855-07,-0.2142391,0.09170562,0.048596952,0.10378624
1855-08,-0.14797918,0.08592231,0.043527443,0.09631864
1855-09,-0.3261661,0.088198416,0.05306848,0.1029331
1855-10,-0.12124105,0.098589174,0.093918905,0.13616382
1855-11,-0.44888303,0.10718922,0.15902221,0.19177485
1855-12,-0.6210319,0.10048754,0.18955886,0.21454674
1856-01,0.026184699,0.09753884,0.15207231,0.18066493
1856-02,-0.38124987,0.09676045,0.18651058,0.21011612
1856-03,-0.50800085,0.09275306,0.21368712,0.23294917
1856-04,-0.24351892,0.09147372,0.13109422,0.15985349
1856-05,-0.22362927,0.09024972,0.1273361,0.15607528
1856-06,-0.09033326,0.09226619,0.062132586,0.11123627
1856-07,-0.2730145,0.090217136,0.043006342,0.09994337
1856-08,-0.27353257,0.08749496,0.052163657,0.10186469
1856-09,-0.368679,0.08556354,0.041575033,0.0951294
1856-10,-0.48836842,0.082545705,0.09516834,0.1259794
1856-11,-0.6914821,0.088797756,0.16260767,0.18527357
1856-12,-0.4868663,0.09429413,0.20107575,0.22208746
1857-01,-0.6725955,0.09387643,0.15621355,0.1822511
1857-02,-0.41804722,0.0949822,0.19803813,0.2196377
1857-03,-0.46425134,0.10468552,0.20805246,0.23290531
1857-04,-0.73783344,0.103078194,0.14975335,0.18179983
1857-05,-0.7327138,0.097614326,0.12229073,0.1564723
1857-06,-0.19904648,0.092255645,0.06767699,0.11441713
1857-07,-0.25409463,0.0950117,0.04853666,0.106691286
1857-08,-0.21586405,0.09215014,0.043951035,0.10209477
1857-09,-0.3375206,0.08829079,0.040057573,0.09695294
1857-10,-0.50081277,0.09672935,0.08077043,0.12601759
