Time,Anomaly (deg C),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1850-01,-0.44851005,0.12690899,0.1145495,0.17096046
1850-02,-0.5161171,0.12690432,0.1038394,0.16397355
1850-03,-0.679384,0.1370292,0.1206415,0.18256882
1850-04,-0.50416344,0.14457355,0.13459611,0.1975288
1850-05,-0.40912414,0.113524325,0.17482837,0.20845318
1850-06,-0.4950043,0.1332998,0.17084727,0.21669708
1850-07,-0.25807837,0.12513183,0.15746306,0.20112829
1850-08,-0.43092555,0.12525368,0.18771785,0.22566895
1850-09,-0.4515077,0.13541119,0.18739618,0.23120017
1850-10,-0.31469855,0.13936476,0.14490795,0.20104937
1850-11,-0.000587348,0.12213962,0.094481856,0.15441796
1850-12,-0.286217,0.10739769,0.09386779,0.14263739
1851-01,-0.35657808,0.12869781,0.10725413,0.16753082
1851-02,-0.4369947,0.12278119,0.0890227,0.15165837
1851-03,-0.2850089,0.13323478,0.100409165,0.16683377
1851-04,-0.39535868,0.13924746,0.13014834,0.19060023
1851-05,-0.28364074,0.1352889,0.18390445,0.22830667
1851-06,-0.3258755,0.13513826,0.18309347,0.22756442
1851-07,-0.13972086,0.13435586,0.13315512,0.18916073
1851-08,-0.19729999,0.14397246,0.16153096,0.21638003
1851-09,-0.27075225,0.14712626,0.18084493,0.23313306
1851-10,-0.074833244,0.1484704,0.13791117,0.20263995
1851-11,0.045762915,0.15145303,0.14166054,0.20737824
1851-12,-0.24910702,0.1380229,0.1296975,0.18939842
1852-01,-0.39744994,0.11348012,0.118377484,0.16398466
1852-02,-0.47058183,0.1402861,0.11301689,0.18014719
1852-03,-0.44324976,0.12903112,0.10991559,0.16950065
1852-04,-0.45183176,0.13620627,0.14749144,0.20076323
1852-05,-0.22614732,0.12334325,0.18283023,0.2205458
1852-06,-0.14587438,0.12092971,0.172614,0.21075954
1852-07,0.021988573,0.12284287,0.14367263,0.18902962
1852-08,-0.21551771,0.12794848,0.17083044,0.21343349
1852-09,0.01667251,0.12979998,0.17655964,0.21913773
1852-10,-0.27509987,0.13005567,0.13180149,0.18516508
1852-11,-0.032544877,0.11266185,0.12094194,0.16528656
1852-12,-0.05751676,0.11035032,0.095281616,0.14579362
1853-01,-0.41749513,0.11514179,0.115548156,0.16312268
1853-02,-0.38725993,0.10114011,0.082339026,0.1304187
1853-03,-0.055617914,0.11712623,0.091188736,0.14843833
1853-04,-0.31682092,0.11320256,0.11510129,0.16144077
1853-05,-0.37257305,0.10641866,0.16917111,0.19985944
1853-06,-0.30863708,0.10592761,0.16235523,0.1938553
1853-07,-0.23421948,0.10023824,0.1387757,0.17119113
1853-08,-0.21066841,0.10539798,0.17325482,0.20279539
1853-09,-0.30511937,0.10808346,0.14113723,0.17776881
1853-10,-0.4013855,0.1135478,0.11454958,0.16129076
1853-11,-0.22125086,0.10629142,0.11410282,0.15594012
1853-12,-0.31275287,0.10395062,0.107637666,0.14963822
1854-01,-0.30503556,0.10048751,0.07280643,0.12409076
1854-02,-0.2998275,0.09273884,0.07984422,0.1223748
1854-03,-0.40035498,0.09846621,0.09874666,0.1394507
1854-04,-0.35634068,0.102189094,0.11834787,0.1563612
1854-05,-0.3873229,0.1006784,0.13855174,0.17126799
1854-06,-0.24850523,0.09953927,0.15807186,0.18680145
1854-07,-0.42448393,0.10547378,0.1294077,0.16694632
1854-08,-0.5297215,0.08724197,0.16497512,0.18662249
1854-09,-0.31043342,0.09273466,0.15315439,0.17904185
1854-10,-0.35737443,0.09055965,0.10091679,0.1355922
1854-11,-0.53897876,0.08285693,0.12086119,0.14653565
1854-12,-0.74184495,0.08087405,0.10152039,0.129796
1855-01,-0.3218592,0.08303676,0.109693535,0.13757825
1855-02,-0.2561413,0.08456631,0.07646247,0.11400864
1855-03,-0.33436322,0.084213786,0.09344742,0.125795
1855-04,-0.5021407,0.08884646,0.115093425,0.14539666
1855-05,-0.5383208,0.09282614,0.13930868,0.16740252
1855-06,-0.49006402,0.083786786,0.16400413,0.18416727
1855-07,-0.45173952,0.085895985,0.12875107,0.15477389
1855-08,-0.25107005,0.08758955,0.15713751,0.17990032
1855-09,-0.21525976,0.07881877,0.1317578,0.15353344
1855-10,-0.26965335,0.08462137,0.11432193,0.1422332
1855-11,-0.32973593,0.09737297,0.08659007,0.13030478
1855-12,-0.21876276,0.087054096,0.09889944,0.1317555
1856-01,-0.17744118,0.07543829,0.104476266,0.12886515
1856-02,-0.29302657,0.08197687,0.09438713,0.12501654
1856-03,-0.20738457,0.0904137,0.07350067,0.11652032
1856-04,-0.3883579,0.09065129,0.087794594,0.12619646
1856-05,-0.34653085,0.089719675,0.15012263,0.17488974
1856-06,-0.33799905,0.085669965,0.1597458,0.18126793
1856-07,-0.17637047,0.089652285,0.12554704,0.15427116
1856-08,-0.20187938,0.08786955,0.16479164,0.18675476
1856-09,-0.40775084,0.08401909,0.14584923,0.16831876
1856-10,-0.387903,0.0791764,0.116669215,0.14099862
1856-11,-0.4131737,0.09340287,0.08759286,0.12804924
1856-12,-0.34818116,0.080045536,0.086443655,0.11781254
1857-01,-0.316929,0.08513805,0.09141286,0.12491917
1857-02,-0.45171273,0.08554579,0.07193675,0.111772
1857-03,-0.49296212,0.0890449,0.08266777,0.1215029
1857-04,-0.55083734,0.09366723,0.09178513,0.13114138
1857-05,-0.5847098,0.09292377,0.13224953,0.16163157
1857-06,-0.40924406,0.08458213,0.14421956,0.16719276
1857-07,-0.5686444,0.08406344,0.12708478,0.15237191
1857-08,-0.52208424,0.07784949,0.17282754,0.18955185
1857-09,-0.42185828,0.083576664,0.15302306,0.17435916
1857-10,-0.44445813,0.088117875,0.10933963,0.14042762
1857-11,-0.61051375,0.086335436,0.10463971,0.13565867
1857-12,-0.4228074,0.090608984,0.08748583,0.12595141
1858-01,-0.46774226,0.08581793,0.0861753,0.121617846
1858-02,-0.35149494,0.08561569,0.0777024,0.11561881
1858-03,-0.5293144,0.08533023,0.07799835,0.11560705
1858-04,-0.55615777,0.094856806,0.08843337,0.12968528
1858-05,-0.67655146,0.09815702,0.1307959,0.16353095
1858-06,-0.471738,0.09303085,0.1632242,0.18787464
1858-07,-0.43098813,0.08642017,0.12670486,0.15337068
1858-08,-0.21982826,0.08340983,0.16184767,0.18207653
1858-09,-0.19000387,0.093664914,0.13182215,0.16171022
1858-10,-0.4013423,0.09237911,0.112586275,0.14563505
1858-11,-0.30547372,0.08948193,0.11351434,0.14454246
