year,month,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1850,1,-0.35138,0.14007,0.03096,0.09622,0.04578,0.08547,-0.45300,-0.26950
1850,2,-0.34437,0.13852,0.03158,0.09198,0.04642,0.08703,-0.44750,-0.26150
1850,3,-0.58001,0.15060,0.03537,0.09765,0.04425,0.09968,-0.67800,-0.50050
1850,4,-0.34222,0.13522,0.03352,0.09939,0.04384,0.07322,-0.43900,-0.26300
1850,5,-0.25093,0.12226,0.03314,0.09200,0.03897,0.06218,-0.33750,-0.18100
1850,6,-0.25486,0.13404,0.03182,0.09053,0.03927,0.08495,-0.34100,-0.18250
1850,7,-0.20818,0.12351,0.03038,0.09017,0.03986,0.06791,-0.29600,-0.13600
1850,8,-0.31233,0.12127,0.03091,0.09040,0.03937,0.06348,-0.39950,-0.24200
1850,9,-0.34318,0.11724,0.03077,0.09063,0.04264,0.05259,-0.43850,-0.26850
1850,10,-0.35998,0.12613,0.03089,0.09319,0.04680,0.06388,-0.46450,-0.27850
1850,11,-0.13705,0.12081,0.02987,0.09002,0.04775,0.05761,-0.24350,-0.05250
1850,12,-0.22955,0.12035,0.02944,0.08840,0.04598,0.06072,-0.33150,-0.14750
1851,1,-0.27433,0.12070,0.03131,0.09146,0.04495,0.05659,-0.37400,-0.19550
1851,2,-0.29522,0.12595,0.03116,0.09136,0.04492,0.06729,-0.39350,-0.21400
1851,3,-0.25086,0.12373,0.03219,0.09375,0.04502,0.05881,-0.35000,-0.17050
1851,4,-0.42784,0.12816,0.03322,0.09826,0.04362,0.06136,-0.52400,-0.34950
1851,5,-0.28696,0.12611,0.03461,0.09948,0.04085,0.05603,-0.37700,-0.21400
1851,6,-0.27375,0.13503,0.03375,0.09790,0.04183,0.07590,-0.36450,-0.19650
1851,7,-0.17794,0.12696,0.03217,0.09497,0.04125,0.06605,-0.26800,-0.10250
1851,8,-0.23900,0.12041,0.03179,0.09788,0.03741,0.05009,-0.32250,-0.17400
