Year,GMST_CRUTEM5,GMST_CRUTEM5_p2.5,GMST_CRUTEM5_p97.5,GMST_HadSST4,GMST_HadSST4_p2.5,GMST_HadSST4_p97.5,GMST_HadSST4_unadj,GMST_ClassNMAT,GMST_CoastalHybridSST,GMST_ERSST5,GMST_COBE_SST2,GMST_BESTLand
1850,-0.267,-0.358,-0.151,-0.316,-0.429,-0.23,-0.484,NA,-0.136,NA,-0.277,-0.379
1851,-0.181,-0.284,-0.069,-0.188,-0.304,-0.083,-0.356,NA,-0.079,NA,-0.147,-0.292
1852,-0.196,-0.303,-0.071,-0.146,-0.248,-0.043,-0.314,NA,-0.138,NA,-0.152,-0.317
1853,-0.247,-0.389,-0.099,-0.213,-0.315,-0.142,-0.393,NA,-0.308,NA,-0.202,-0.321
1854,-0.219,-0.352,-0.088,-0.288,-0.386,-0.203,-0.468,NA,-0.442,-0.122,-0.224,-0.296
1855,-0.268,-0.42,-0.15,-0.227,-0.332,-0.124,-0.411,NA,-0.347,-0.113,-0.27,-0.333
1856,-0.212,-0.355,-0.098,-0.317,-0.407,-0.237,-0.502,NA,-0.38,-0.204,-0.269,-0.317
1857,-0.338,-0.484,-0.215,-0.48,-0.564,-0.405,-0.668,NA,-0.48,-0.333,-0.461,-0.477
1858,-0.288,-0.438,-0.16,-0.412,-0.508,-0.33,-0.6,NA,-0.595,-0.232,-0.324,-0.361
1859,-0.314,-0.456,-0.176,-0.245,-0.334,-0.157,-0.438,NA,-0.651,-0.137,-0.264,-0.352
1860,-0.376,-0.516,-0.241,-0.27,-0.359,-0.203,-0.463,NA,-0.477,-0.172,-0.265,-0.434
1861,-0.308,-0.431,-0.202,-0.402,-0.494,-0.327,-0.595,NA,-0.491,-0.317,-0.358,-0.38
1862,-0.349,-0.468,-0.218,-0.441,-0.536,-0.372,-0.641,NA,-0.69,-0.325,-0.356,-0.494
1863,-0.323,-0.435,-0.19,-0.371,-0.447,-0.299,-0.57,NA,-0.758,-0.264,-0.39,-0.401
1864,-0.41,-0.56,-0.271,-0.403,-0.485,-0.331,-0.607,NA,-0.566,-0.281,-0.379,-0.462
1865,-0.219,-0.373,-0.054,-0.197,-0.266,-0.123,-0.399,NA,-0.22,-0.057,-0.189,-0.282
1866,-0.385,-0.551,-0.221,-0.177,-0.262,-0.101,-0.387,NA,-0.262,-0.044,-0.178,-0.316
1867,-0.333,-0.52,-0.166,-0.192,-0.28,-0.127,-0.403,NA,-0.349,-0.072,-0.181,-0.271
1868,-0.305,-0.466,-0.13,-0.181,-0.253,-0.111,-0.386,NA,-0.404,-0.112,-0.242,-0.288
1869,-0.215,-0.375,-0.051,-0.276,-0.352,-0.196,-0.485,NA,-0.465,-0.13,-0.268,-0.224
1870,-0.332,-0.478,-0.191,-0.312,-0.375,-0.239,-0.524,NA,-0.51,-0.173,-0.284,-0.361
1871,-0.408,-0.549,-0.253,-0.32,-0.384,-0.239,-0.521,NA,-0.444,-0.185,-0.287,-0.449
1872,-0.304,-0.443,-0.152,-0.243,-0.298,-0.165,-0.456,NA,-0.357,-0.151,-0.251,-0.362
1873,-0.218,-0.356,-0.079,-0.339,-0.419,-0.264,-0.554,NA,-0.404,-0.222,-0.337,-0.354
1874,-0.295,-0.444,-0.15,-0.461,-0.526,-0.385,-0.676,NA,-0.533,-0.312,-0.409,-0.37
1875,-0.335,-0.477,-0.166,-0.275,-0.348,-0.176,-0.495,NA,-0.409,-0.157,-0.282,-0.424
1876,-0.296,-0.443,-0.141,-0.405,-0.469,-0.337,-0.625,NA,-0.57,-0.298,-0.358,-0.331
1877,-0.143,-0.291,0.002,0.009,-0.047,0.092,-0.21,NA,-0.212,0.101,-0.013,-0.162
1878,-0.009,-0.169,0.146,0.04,-0.02,0.112,-0.178,NA,-0.105,0.158,0.057,0.001
