Year,GMST_CRUTEM5,GMST_CRUTEM5_p2.5,GMST_CRUTEM5_p97.5,GMST_HadSST4,GMST_HadSST4_p2.5,GMST_HadSST4_p97.5,GMST_HadSST4_unadj,GMST_ClassNMAT,GMST_CoastalHybridSST,GMST_ERSST5,GMST_COBE_SST2,GMST_BESTLand
1850,-0.239,-0.346,-0.111,-0.302,-0.459,-0.176,-0.508,NA,-0.085,NA,-0.237,-0.399
1851,-0.107,-0.275,0.078,-0.237,-0.386,-0.097,-0.453,NA,-0.097,NA,-0.134,-0.346
1852,-0.216,-0.391,-0.018,-0.154,-0.289,0.003,-0.364,NA,-0.126,NA,-0.15,-0.412
1853,-0.43,-0.763,-0.096,-0.174,-0.31,-0.082,-0.393,NA,-0.292,NA,-0.182,-0.426
1854,-0.344,-0.667,-0.058,-0.234,-0.373,-0.117,-0.452,NA,-0.435,-0.077,-0.204,-0.381
1855,-0.429,-0.762,-0.105,-0.225,-0.343,-0.099,-0.438,NA,-0.334,-0.083,-0.217,-0.426
1856,-0.286,-0.571,-0.058,-0.407,-0.526,-0.295,-0.622,NA,-0.403,-0.247,-0.241,-0.383
1857,-0.588,-0.845,-0.355,-0.489,-0.602,-0.384,-0.701,NA,-0.461,-0.353,-0.367,-0.66
1858,-0.537,-0.838,-0.269,-0.424,-0.557,-0.314,-0.638,NA,-0.612,-0.234,-0.254,-0.515
1859,-0.558,-0.871,-0.287,-0.231,-0.342,-0.114,-0.45,NA,-0.677,-0.127,-0.229,-0.496
1860,-0.52,-0.833,-0.27,-0.291,-0.407,-0.195,-0.513,NA,-0.469,-0.195,-0.225,-0.565
1861,-0.322,-0.566,-0.111,-0.391,-0.503,-0.298,-0.612,NA,-0.491,-0.333,-0.293,-0.483
1862,-0.286,-0.478,-0.101,-0.432,-0.556,-0.335,-0.657,NA,-0.756,-0.344,-0.28,-0.61
1863,-0.305,-0.481,-0.115,-0.35,-0.449,-0.266,-0.574,NA,-0.802,-0.278,-0.343,-0.475
1864,-0.555,-0.751,-0.315,-0.404,-0.506,-0.311,-0.632,NA,-0.613,-0.313,-0.31,-0.585
1865,-0.262,-0.533,-0.006,-0.154,-0.241,-0.042,-0.379,NA,-0.225,-0.036,-0.161,-0.326
1866,-0.58,-0.842,-0.319,-0.144,-0.254,-0.035,-0.375,NA,-0.264,-0.029,-0.16,-0.413
1867,-0.456,-0.75,-0.192,-0.184,-0.289,-0.094,-0.413,NA,-0.364,-0.071,-0.164,-0.368
1868,-0.376,-0.649,-0.101,-0.093,-0.209,0.015,-0.323,NA,-0.38,-0.047,-0.183,-0.349
1869,-0.234,-0.486,0.017,-0.26,-0.356,-0.157,-0.493,NA,-0.45,-0.12,-0.222,-0.277
1870,-0.408,-0.654,-0.192,-0.279,-0.344,-0.177,-0.508,NA,-0.492,-0.136,-0.239,-0.476
1871,-0.459,-0.672,-0.235,-0.307,-0.391,-0.207,-0.53,NA,-0.431,-0.186,-0.224,-0.532
1872,-0.358,-0.581,-0.131,-0.247,-0.328,-0.137,-0.478,NA,-0.359,-0.149,-0.206,-0.453
1873,-0.214,-0.475,0.033,-0.298,-0.39,-0.222,-0.538,NA,-0.391,-0.201,-0.281,-0.43
1874,-0.316,-0.569,-0.03,-0.462,-0.553,-0.348,-0.698,NA,-0.557,-0.309,-0.336,-0.481
1875,-0.323,-0.577,-0.035,-0.22,-0.32,-0.112,-0.468,NA,-0.383,-0.139,-0.228,-0.569
1876,-0.335,-0.579,-0.064,-0.361,-0.44,-0.263,-0.604,NA,-0.559,-0.269,-0.276,-0.458
1877,-0.126,-0.387,0.178,0.078,-0.015,0.177,-0.174,NA,-0.189,0.13,-0.006,-0.222
1878,-0.008,-0.275,0.275,0.079,-0.005,0.174,-0.169,NA,-0.08,0.196,0.01,-0.054
1879,-0.449,-0.722,-0.162,-0.205,-0.284,-0.109,-0.458,NA,-0.281,-0.076,-0.18,-0.548
1880,-0.336,-0.595,-0.036,-0.272,-0.36,-0.181,-0.531,-0.109,-0.301,-0.17,-0.22,-0.54
1881,-0.133,-0.409,0.143,-0.18,-0.266,-0.089,-0.444,0.01,-0.15,-0.094,-0.129,-0.346
1882,-0.346,-0.591,-0.088,-0.233,-0.324,-0.125,-0.496,-0.143,-0.196,-0.147,-0.216,-0.517
1883,-0.377,-0.628,-0.126,-0.281,-0.373,-0.184,-0.555,-0.04,-0.335,-0.212,-0.229,-0.539
1884,-0.62,-0.865,-0.361,-0.442,-0.52,-0.344,-0.716,-0.064,-0.534,-0.334,-0.273,-0.734
1885,-0.464,-0.725,-0.245,-0.405,-0.492,-0.308,-0.69,-0.03,-0.39,-0.318,-0.247,-0.596
1886,-0.413,-0.65,-0.16,-0.401,-0.491,-0.32,-0.69,0.044,-0.314,-0.276,-0.262,-0.571
1887,-0.613,-0.873,-0.326,-0.484,-0.571,-0.373,-0.776,-0.142,-0.436,-0.429,-0.353,-0.705
1888,-0.41,-0.65,-0.159,-0.336,-0.431,-0.233,-0.617,-0.161,-0.285,-0.257,-0.227,-0.468
1889,-0.25,-0.483,-0.013,-0.148,-0.236,-0.044,-0.436,-0.06,-0.136,-0.145,-0.209,-0.324
1890,-0.594,-0.831,-0.339,-0.483,-0.562,-0.401,-0.772,-0.303,-0.436,-0.478,-0.406,-0.65
1891,-0.418,-0.689,-0.168,-0.364,-0.457,-0.256,-0.654,-0.084,-0.249,-0.316,-0.265,-0.523
1892,-0.548,-0.802,-0.284,-0.501,-0.613,-0.384,-0.792,-0.192,-0.438,-0.448,-0.378,-0.547
1893,-0.59,-0.856,-0.316,-0.459,-0.569,-0.345,-0.755,-0.238,-0.401,-0.453,-0.407,-0.558
1894,-0.524,-0.792,-0.263,-0.493,-0.589,-0.378,-0.79,-0.12,-0.445,-0.481,-0.411,-0.49
1895,-0.453,-0.707,-0.185,-0.388,-0.499,-0.288,-0.685,-0.078,-0.365,-0.363,-0.286,-0.419
1896,-0.301,-0.565,-0.025,-0.178,-0.285,-0.062,-0.479,-0.191,-0.181,-0.144,-0.133,-0.326
1897,-0.215,-0.476,0.049,-0.235,-0.335,-0.13,-0.539,-0.247,-0.192,-0.181,-0.156,-0.259
1898,-0.403,-0.643,-0.118,-0.473,-0.591,-0.356,-0.786,-0.338,-0.355,-0.393,-0.331,-0.426
1899,-0.282,-0.531,0.002,-0.349,-0.464,-0.22,-0.66,-0.25,-0.211,-0.31,-0.258,-0.282
1900,-0.186,-0.422,0.105,-0.231,-0.33,-0.108,-0.541,-0.195,-0.063,-0.181,-0.175,-0.202
1901,-0.258,-0.463,0.038,-0.389,-0.511,-0.28,-0.705,-0.248,-0.114,-0.343,-0.279,-0.254
1902,-0.285,-0.511,-0.02,-0.5,-0.616,-0.391,-0.823,-0.338,-0.131,-0.482,-0.337,-0.372
1903,-0.365,-0.615,-0.106,-0.664,-0.779,-0.546,-0.989,-0.532,-0.278,-0.629,-0.432,-0.441
1904,-0.477,-0.731,-0.212,-0.706,-0.826,-0.586,-1.029,-0.571,-0.291,-0.729,-0.475,-0.585
1905,-0.273,-0.507,0.009,-0.512,-0.635,-0.38,-0.84,-0.52,-0.17,-0.541,-0.331,-0.403
1906,-0.212,-0.436,0.079,-0.414,-0.539,-0.3,-0.747,-0.391,-0.114,-0.454,-0.303,-0.322
1907,-0.427,-0.664,-0.128,-0.54,-0.634,-0.417,-0.882,-0.545,-0.233,-0.588,-0.407,-0.56
1908,-0.428,-0.631,-0.142,-0.664,-0.755,-0.545,-1.012,-0.596,-0.318,-0.709,-0.496,-0.496
1909,-0.348,-0.568,-0.055,-0.728,-0.809,-0.616,-1.096,-0.634,-0.397,-0.763,-0.493,-0.479
1910,-0.391,-0.608,-0.142,-0.699,-0.787,-0.593,-1.08,-0.581,-0.347,-0.733,-0.504,-0.496
1911,-0.297,-0.517,-0.036,-0.725,-0.807,-0.637,-1.12,-0.626,-0.376,-0.741,-0.487,-0.446
1912,-0.288,-0.51,-0.043,-0.51,-0.597,-0.406,-0.91,-0.433,-0.201,-0.524,-0.33,-0.418
1913,-0.323,-0.544,-0.071,-0.57,-0.662,-0.478,-0.977,-0.457,-0.271,-0.584,-0.396,-0.404
1914,-0.093,-0.31,0.156,-0.373,-0.463,-0.252,-0.782,-0.075,-0.071,-0.38,-0.25,-0.2
1915,-0.03,-0.249,0.217,-0.241,-0.343,-0.131,-0.66,-0.031,0.029,-0.291,-0.153,-0.148
1916,-0.303,-0.52,-0.056,-0.453,-0.573,-0.332,-0.885,-0.332,-0.225,-0.484,-0.358,-0.422
1917,-0.445,-0.669,-0.176,-0.64,-0.781,-0.531,-1.083,-0.325,-0.42,-0.625,-0.36,-0.594
1918,-0.353,-0.569,-0.095,-0.436,-0.536,-0.322,-0.876,-0.178,-0.234,-0.468,-0.26,-0.508
1919,-0.2,-0.417,0.06,-0.443,-0.549,-0.307,-0.883,-0.117,-0.176,-0.419,-0.231,-0.31
1920,-0.193,-0.413,0.079,-0.33,-0.436,-0.212,-0.774,-0.208,-0.119,-0.386,-0.234,-0.351
1921,-0.156,-0.377,0.101,-0.33,-0.436,-0.207,-0.776,-0.184,-0.147,-0.374,-0.245,-0.292
1922,-0.194,-0.414,0.069,-0.409,-0.512,-0.274,-0.839,-0.259,-0.193,-0.487,-0.289,-0.345
